token,lem
determine,determine
fortify,fortify
tornado,tornado
planting,planting
commitment,commitment
researched,research
correct,correct
seeks,seek
integrating,integrate
gi,gi
lid,lid
updates,update
jurisdictional,jurisdictional
consideration,consideration
warm,warm
facts,fact
cooling,cool
pools,pool
parks,park
plazas,plaza
included,include
memo,memo
page,page
utility,utility
bills,bill
job,job
equity,equity
cumulative,cumulative
avoided,avoid
main,main
drivers,driver
wastes,waste
zone,zone
disinvested,disinvest
proposal,proposal
beautiful,beautiful
point,point
add,add
trees,tree
benches,bench
signage,signage
calming,calming
strive,strive
adding,add
plants,plant
prepared,prepare
intense,intense
temperatures,temperature
western,western
summer,summer
pronounced,pronounce
citizens,citizen
predicts,predict
hotter,hot
ozone,ozone
produce,produce
smog,smog
respiratory,respiratory
infections,infection
predict,predict
fine,fine
particulate,particulate
matter,matter
exacerbate,exacerbate
host,host
disabilities,disability
stakeholders,stakeholder
engaged,engage
workshops,workshop
developers,developer
review,review
permitting,permitting
yearly,yearly
lightning,lightning
thunderstorm,thunderstorm
mix,mix
large,large
assisted,assist
writing,writing
advisory,advisory
board,board
guide,guide
following,follow
supplied,supply
steam,steam
chose,choose
port,port
areabecause,areabecause
expected,expect
furtherexacerbate,furtherexacerbate
extremeheat,extremeheat
houses,house
populationsat,populationsat
impacted,impact
mature,mature
arearepresentative,arearepresentative
vulnerabilityare,vulnerabilityare
imminent,imminent
pilotplans,pilotplan
inform,inform
andresiliency,andresiliency
end,end
representative,representative
densityresidential,densityresidential
renters,renter
denseunderground,denseunderground
combinedsewer,combinedsewer
pipes,pipe
institutionaluses,institutionaluse
andcommunity,andcommunity
types,type
sparsebut,sparsebut
precious,precious
ecosystem,ecosystem
element,element
emphasizes,emphasize
step,step
taking,take
reaching,reach
pathway,pathway
external,external
parties,party
verified,verify
municipality,municipality
commissioned,commission
manage,manage
necessary,necessary
enhance,enhance
guidelines,guideline
constructed,construct
wetlands,wetland
pervious,pervious
pavement,pavement
etc,etc
cyclone,cyclone
hurricane,hurricane
typhoon,typhoon
availability,availability
issue,issue
localized,localize
statewide,statewide
alert,alert
sends,send
messages,message
subscribers,subscriber
pending,pende
threats,threat
dangerous,dangerous
library,library
shelter,shelter
fountains,fountain
bottle,bottle
fillers,filler
lavatories,lavatory
amenities,amenity
heavy,heavy
snow,snow
simply,simply
framework,framework
dentons,denton
conducted,conduct
components,component
efficient,efficient
loan,loan
profits,profit
weatherization,weatherization
clients,client
offering,offering
entry,entry
retrofits,retrofit
certain,certain
continued,continue
format,format
trucks,truck
university,university
landlocked,landlocked
nature,nature
surrounding,surround
things,thing
somewhat,somewhat
isolated,isolate
goods,good
hospital,hospital
borders,border
relatively,relatively
coast,coast
regularly,regularly
collaborate,collaborate
neighboring,neighboring
jurisdictions,jurisdiction
municipalities,municipality
peer,peer
networks,network
knowledge,knowledge
directors,director
dams,dam
majority,majority
detention,detention
basins,basin
protect,protect
purview,purview
southeast,southeast
black,black
canyon,canyon
downstream,downstream
scattered,scatter
divert,divert
contain,contain
seasonal,seasonal
waters,water
mill,mill
ponds,pond
serve,serve
store,store
quantities,quantity
mining,mining
breach,breach
threat,threat
suffer,suffer
encroachment,encroachment
fail,fail
pass,pass
inflow,inflow
idf,idf
inspection,inspection
commensurate,commensurate
record,record
affecting,affect
according,accord
ndwr,ndwr
designation,designation
condition,condition
actual,actual
stated,state
satisfactory,satisfactory
rating,rating
inspectors,inspector
reclamation,reclamation
hoover,hoover
numerous,numerous
earthquakes,earthquake
improper,improper
siting,siting
flaws,flaw
floodwaters,floodwater
collapse,collapse
age,age
structure,structure
inadequate,inadequate
spillway,spillway
mentioned,mention
failed,fail
active,active
remediating,remediate
deficient,deficient
probability,probability
contribute,contribute
contracted,contract
supported,support
streamlining,streamline
ceqa,ceqa
likely,likely
polished,polished
draft,draft
cast,cast
extrapolated,extrapolate
resolution,resolution
guiding,guide
processes,process
decision,decision
influenced,influence
document,document
winds,wind
intensity,intensity
frequency,frequency
magnitude,magnitude
modelling,modelling
aircraft,aircraft
ambitious,ambitious
systematically,systematically
zne,zne
electrification,electrification
aligns,align
reassessment,reassessment
timetable,timetable
addresses,address
article,article
outlining,outline
protocols,protocol
ponderosa,ponderosa
pine,pine
continuously,continuously
surrounds,surround
sinks,sink
reservoirs,reservoir
joined,join
covenant,covenant
mayors,mayor
depth,depth
cooperation,cooperation
runoff,runoff
slowed,slow
soils,soil
helps,help
speed,speed
volume,volume
flowing,flow
creeks,creek
improves,improve
helping,help
standardized,standardized
daytime,daytime
professional,professional
ageing,age
gives,give
incorporate,incorporate
panels,panel
permeable,permeable
native,native
alternative,alternative
forms,form
bike,bike
proximity,proximity
receive,receive
waivers,waiver
revised,revise
setback,setback
density,density
hall,hall
certified,certify
gold,gold
nutrition,nutrition
scoping,scope
unified,unified
compact,compact
covering,cover
map,map
topic,topic
focusing,focus
formally,formally
directives,directive
executive,executive
pv,pv
informed,informed
filing,file
raincheck,raincheck
aimed,aim
acres,acre
mitigate,mitigate
capturing,capture
keeping,keep
overflow,overflow
sector,sector
gate,gate
planes,plane
seperated,seperate
literally,literally
worst,bad
tends,tend
sits,sit
valley,valley
going,go
layered,layer
covid,covid
situation,situation
hasn,hasn
stabilized,stabilize
extremely,extremely
agenda,agenda
setting,set
workshop,workshop
members,member
interviews,interview
policies,policy
traditional,traditional
g,g
soil,soil
club,club
designed,design
encourage,encourage
commute,commute
carpooling,carpoole
vanpooling,vanpoole
riding,ride
walking,walk
bicycling,bicycling
motorcycling,motorcycling
telecommuting,telecommute
compressed,compressed
weeks,week
offers,offer
employers,employer
commuters,commuter
money,money
restrictions,restriction
partnerships,partnership
older,old
overflows,overflow
rivers,river
running,run
portion,portion
drinking,drinking
pulled,pull
meaning,mean
chance,chance
contamination,contamination
shifts,shift
predicted,predict
modify,modify
duration,duration
sustained,sustained
projected,project
intended,intend
nutritious,nutritious
ability,ability
cultivate,cultivate
harvest,harvest
sell,sell
thrive,thrive
empower,empower
crs,crs
anticipates,anticipate
score,score
substantially,substantially
higher,high
elevation,elevation
approvals,approval
hand,hand
teamconducted,teamconducte
foreach,foreach
mapped,map
interconnectivity,interconnectivity
variousassets,variousasset
cascading,cascading
dependencieson,dependencieson
blackoutleading,blackoutleading
incorporatedinto,incorporatedinto
consequence,consequence
scores,score
influencing,influence
overallrisk,overallrisk
man,man
verify,verify
utilize,utilize
conduct,conduct
overall,overall
pattern,pattern
shorter,short
storms,storm
tide,tide
big,big
deal,deal
makes,make
unusable,unusable
provincial,provincial
group,group
composed,compose
minded,minded
reviewed,review
timeless,timeless
gather,gather
input,input
petrol,petrol
passenger,passenger
resistant,resistant
labour,labour
hydrology,hydrology
decreasing,decrease
warming,warming
continue,continue
trend,trend
earlier,early
peak,peak
late,late
flows,flow
lengthen,lengthen
seasons,season
warmer,warm
recharge,recharge
streamflow,streamflow
timing,timing
rafting,rafting
fishing,fishing
reservoir,reservoir
site,site
snowpacks,snowpack
synthesis,synthesis
pressure,pressure
barrier,barrier
putting,put
afternoon,afternoon
evening,evening
charge,charge
night,night
mismatch,mismatch
solution,solution
launch,launch
flagship,flagship
ppp,ppp
chargers,charger
powered,power
prominent,prominent
lots,lot
complexes,complexe
trial,trial
states,state
shall,shall
maintain,maintain
laws,law
objectives,objective
establishes,establish
alighment,alighment
foundational,foundational
ecap,ecap
item,item
titled,title
phase,phase
fossil,fossil
dependency,dependency
agreements,agreement
contracts,contract
ferries,ferry
co,co
principal,principal
criteria,criterion
prioritization,prioritization
outlined,outline
understand,understand
specifically,specifically
collect,collect
dairy,dairy
capita,capita
kg,kg
came,come
sign,sign
joint,joint
declaration,declaration
ports,port
transition,transition
drayage,drayage
terminal,terminal
equipment,equipment
approved,approve
governing,govern
boards,board
strengthening,strengthen
competitiveness,competitiveness
caap,caap
ghgs,ghg
sulfur,sulfur
oxide,oxide
leading,lead
causes,cause
residing,reside
freight,freight
respectively,respectively
achieving,achieve
follows,follow
optimizing,optimize
purchasing,purchase
net,net
educating,educate
encouraging,encourage
eco,eco
driving,drive
contemplated,contemplate
officials,official
generators,generator
supplying,supply
hurricanes,hurricane
curbside,curbside
yard,yard
organics,organic
cart,cart
calling,call
loosely,loosely
bagged,bag
accepted,accept
fatty,fatty
oily,oily
greasy,greasy
separated,separate
transfer,transfer
agricultural,agricultural
cover,cover
organic,organic
farms,farm
converted,convert
engineered,engineer
bioslurry,bioslurry
transported,transport
anerobic,anerobic
digester,digester
click,click
learn,learn
purpose,purpose
recycle,recycle
landscaping,landscaping
grass,grass
clippings,clipping
leaves,leave
branches,branch
participating,participate
pick,pick
pieces,piece
wood,wood
trunks,trunk
bundled,bundle
feet,foot
diameter,diameter
length,length
pounds,pound
weight,weight
yucca,yucca
palm,palm
iceplant,iceplant
trash,trash
debris,debris
animal,animal
backyard,backyard
programthe,programthe
like,like
fertilizer,fertilizer
gardens,garden
classes,class
round,round
discount,discount
hauler,hauler
gcc,gcc
pests,pest
adjacent,adjacent
spring,spring
mountains,mountain
springs,spring
trout,trout
wildfires,wildfire
northwest,northwest
began,begin
spreading,spread
eastward,eastward
contained,contain
nation,nation
occurrence,occurrence
burned,burn
week,week
later,later
scoring,scoring
assessed,assess
materials,material
defensible,defensible
capability,capability
suppression,suppression
loading,loading
topography,topography
historical,historical
burn,burn
tend,tend
occur,occur
presents,present
prices,price
priced,price
calls,call
having,have
references,reference
achieve,achieve
recommendation,recommendation
profit,profit
audits,audits
identifying,identify
upgrading,upgrade
sq,sq
containers,container
removal,removal
dead,dead
suitable,suitable
species,specie
invest,invest
companies,company
codes,code
accelerates,accelerate
premature,premature
cardiovascular,cardiovascular
admissions,admission
prevented,prevent
cut,cut
found,find
chapter,chapter
harness,harness
compassion,compassion
diversity,diversity
systemic,systemic
wages,wage
waterways,waterway
benefit,benefit
generations,generation
donated,donate
slim,slim
apart,apart
compared,compare
consultation,consultation
mechanisms,mechanism
coordination,coordination
affected,affect
compatible,compatible
coordinating,coordinate
delivery,delivery
respond,respond
recover,recover
threatened,threatened
terrorism,terrorism
advance,advance
schemes,scheme
gallon,gallon
retains,retain
look,look
classic,classic
cape,cape
cod,cod
village,village
quaint,quaint
whitewashed,whitewash
unspoiled,unspoiled
landscape,landscape
renowned,renowne
worldwide,worldwide
oysters,oyster
attractions,attraction
galleries,gallery
showing,show
artists,artist
rated,rate
restaurants,restaurant
contemporary,contemporary
theater,theater
