cluster,child_topic,top_terms,modele
157,20,"['natural gas', 'gas leakage', 'natural gas leakage', 'natural gas use', 'gas use', 'compress gas', 'emission factor', 'fugitive natural gas', 'fugitive natural', 'gas prohibition', 'natural gas prohibition', 'gas emission factor', 'commercial usage', 'natural gas emission', 'emission factor commercial']",bert_hdbscan
157,16,"['gas inventory', 'greenhouse gas', 'emission inventory', 'gas emission', 'gas emission inventory', 'greenhouse gas emission', 'inventory report', 'greenhouse gas inventory', 'emission inventory report', 'community greenhouse', 'community greenhouse gas', 'wide greenhouse gas', 'wide greenhouse', 'ghg emission', 'inventory community greenhouse']",bert_hdbscan
163,46,"['energy efficiency', 'build energy', 'water energy', 'energy water', 'build energy water', 'energy code', 'conservation strategy', 'food water energy', 'food water', 'renewable energy efficiency', 'appropriate water', 'net energy', 'energy report', 'energy improvement', 'industrial energy efficiency']",bert_hdbscan
163,45,"['renewable energy', 'energy supply', 'energy goal', 'renewable electri', 'renewable energy generation', 'instal renewable', 'energy generation', 'residential energy', 'purchase agreement', 'renewable energy procurement', 'energy procurement', 'emergency management', 'renewable power', 'base model', 'energy benchmarking']",bert_hdbscan
174,27,"['electric vehicle', 'vehicle charge', 'electric bus', 'charging station', 'charge infrastructure', 'electric vehicle charge', 'vehicle charge infrastructure', 'transit bus', 'electric vehicle charging', 'vehicle charging station', 'vehicle charging', 'electric mobility', 'fossil fuel', 'purchase electric bus', 'vehicle infrastructure']",bert_hdbscan
174,30,"['distance travel', 'passenger mile', 'mile travel', 'vehicle mile travel', 'vehicle mile', 'transportation choice', 'forecast model', 'freight rail', 'carpool permit', 'employee business', 'transit line', 'passenger transport', 'passenger rail', 'passenger vehicle', 'free transit']",bert_hdbscan
177,19,"['commercial building', 'include commercial', 'include commercial building', 'building facility', 'commercial building facility', 'institutional building', 'include industrial', 'residential commercial', 'integrate commercial building', 'integrate commercial', 'commercial institutional', 'commercial residential', 'industrial institutional', 'include institutional', 'emission include commercial']",bert_hdbscan
177,52,"['local business', 'sustainable business', 'green business', 'business certify', 'certification program', 'small business', 'content group', 'business leader', 'business certification', 'business program', 'business practice', 'program business', 'local chamber', 'small enterprise', 'business implement']",bert_hdbscan
179,39,"['meal serve', 'number meal', 'serve meal', 'meal provide', 'provide meal', 'senior center', 'meal day', 'total number meal', 'meal program', 'meal meal', 'total number', 'school hospital', 'school meal', 'number meal serve', 'serve school']",bert_hdbscan
179,40,"['farmer market', 'fruit vegetable', 'community garden', 'local food', 'urban agriculture', 'healthy food', 'fresh fruit', 'fresh fruit vegetable', 'grocery store', 'food production', 'food system', 'locally grow', 'food purchase', 'fresh food', 'good food']",bert_hdbscan
180,49,"['solid waste', 'solid waste collection', 'waste collection', 'illegal dumping', 'waste characterization', 'waste diversion', 'solid waste disposal', 'solid waste generation', 'waste diversion rate', 'dispose boundary', 'waste dispose boundary', 'waste generation', 'waste disposal', 'collection operation', 'diversion rate']",bert_hdbscan
180,91,"['food waste', 'solid waste', 'waste landfill', 'food scrap', 'waste reduction', 'yard waste', 'waste diversion', 'reduce waste', 'waste management', 'recycling rate', 'material landfill', 'building material', 'waste recycling', 'waste stream', 'construction demolition']",bert_hdbscan
182,22,"['water meter', 'smart meter', 'water utility', 'smart water meter', 'smart water', 'meter provide', 'leak detection', 'meter reading', 'water meter instal', 'metering infrastructure', 'meter instal', 'meter water', 'water bill', 'meter read', 'meter replace']",bert_hdbscan
182,21,"['level rise', 'sea level', 'sea level rise', 'flood sea', 'flood sea level', 'level rise vulnerability', 'rise vulnerability', 'level sensor', 'level rise analysis', 'rise analysis', 'rise vulnerability assessment', 'storm surge', 'level rise study', 'rise study', 'rise adaptation plan']",bert_hdbscan
183,8,"['square mile', 'locate mile', 'county seat', 'area square mile', 'area square', 'population approximately', 'large population', 'second large', 'estimate population', 'large state', 'county state', 'approximately resident', 'total area', 'approximately square', 'large municipality']",bert_hdbscan
183,63,"['community culture', 'complete street', 'service facility', 'community engagement', 'connected community', 'community road', 'zone incentive', 'transportation system', 'community group', 'community root', 'facility improvement', 'public meeting', 'community wide', 'community compost', 'compost facility']",bert_hdbscan
184,17,"['cool center', 'extreme heat', 'extreme hot', 'heat mapping', 'create cool', 'heating cool', 'heat wave', 'extreme heat day', 'temperature extreme', 'heat day', 'facility cool', 'resilience extreme heat', 'extreme cold', 'resilience extreme', 'extreme cold temperature']",bert_hdbscan
184,65,"['winter storm', 'heavy snow', 'extreme cold', 'heavy snowfall', 'winter weather', 'snow storm', 'death injury', 'wind chill', 'severe winter', 'access service', 'storm event', 'ice storm', 'severe winter storm', 'winter storm event', 'school closure']",bert_hdbscan
185,97,"['action plan', 'climate action', 'climate action plan', 'action plan update', 'action resilience plan', 'plan update', 'climate action resilience', 'action resilience', 'resilience plan', 'adaptation plan', 'climate action resiliency', 'action resiliency plan', 'action resiliency', 'resiliency plan', 'action plan community']",bert_hdbscan
185,96,"['action plan', 'climate action', 'adaptation plan', 'climate action plan', 'action adaptation', 'action adaptation plan', 'climate action adaptation', 'climate adaptation', 'climate change', 'climate adaptation plan', 'adaptation action', 'change adaptation', 'climate change adaptation', 'climate vulnerability', 'mitigation plan']",bert_hdbscan
186,3,"['specify year', 'year baseline', 'specify datum', 'previous year', 'specify annual', 'baseline year', 'year year', 'specify update', 'year base', 'year calculation', 'update year', 'reduction come', 'year large', 'datum year', 'year verify']",bert_hdbscan
186,62,"['datum available', 'information available', 'link plan', 'available datum', 'datum readily', 'attach inventory', 'figure unknown', 'publicly available', 'cost information', 'datum exact', 'datum provide', 'data available', 'lack datum', 'state database', 'quality relevant']",bert_hdbscan
187,11,"['specify state', 'specify grant', 'specify request', 'specify leadership', 'specify measure', 'specify metric ton', 'specify metric', 'specify education', 'specify private', 'specify multiple', 'specify utility', 'specify policy', 'specify program', 'metric ton', 'specify local']",bert_hdbscan
187,9,"['specify fund', 'specify project', 'specify project fund', 'project fund', 'specify funding', 'specify local', 'funding source', 'specify federal', 'specify grant', 'specify planning', 'specify funding source', 'specify federal grant', 'local government', 'federal grant', 'specify plan']",bert_hdbscan
95,72,"['specify infrastructure', 'infrastructure improvement', 'infrastructure damage', 'specify infrastructure damage', 'specify infrastructure improvement', 'evaluate infrastructure', 'stream restoration', 'infrastructure resilience', 'transportation infrastructure', 'budget strain', 'planning infrastructure improvement', 'improvement limited', 'space infrastructure', 'term infrastructure', 'planning infrastructure']",nmf_frobenius
95,68,"['stormwater infrastructure', 'infrastructure plan', 'green stormwater', 'plan implementation', 'green stormwater infrastructure', 'stormwater infrastructure plan', 'residential stormwater', 'residential stormwater grant', 'stormwater grant', 'water infrastructure', 'stormwater infrastructure project', 'infrastructure project', 'water infrastructure plan', 'stormwater grant program', 'new stormwater infrastructure']",nmf_frobenius
106,10,"['energy efficiency', 'efficiency program', 'energy efficiency program', 'increase energy', 'efficiency project', 'efficiency upgrade', 'efficiency retrofit', 'renewable energy', 'energy efficiency retrofit', 'home energy', 'energy efficiency project', 'efficiency improvement', 'energy efficiency upgrade', 'energy efficient', 'efficiency measure']",nmf_frobenius
106,5,"['renewable energy', 'energy generation', 'community choice', 'renewable energy generation', 'energy source', 'renewable energy source', 'use renewable', 'energy goal', 'use renewable energy', 'site renewable', 'renewable portfolio', 'energy procurement', 'portfolio standard', 'energy target', 'renewable portfolio standard']",nmf_frobenius
108,19,"['commercial building', 'include commercial', 'building facility', 'include commercial building', 'commercial building facility', 'institutional building', 'integrate commercial building', 'integrate commercial', 'emission include', 'institutional building facility', 'emission include commercial', 'energy commercial building', 'energy performance', 'industrial building', 'industrial building facility']",nmf_frobenius
108,64,"['residential commercial', 'commercial industrial', 'residential commercial industrial', 'property damage', 'residential commercial property', 'commercial property', 'public safety', 'commercial property damage', 'energy efficiency', 'commercial industrial institutional', 'industrial institutional', 'residential commercial building', 'commercial building', 'infrastructure damage', 'include residential commercial']",nmf_frobenius
117,1,"['sea level', 'level rise', 'sea level rise', 'storm surge', 'flood sea level', 'flood sea', 'climate change', 'level rise storm', 'rise storm', 'rise vulnerability', 'vulnerability assessment', 'level rise vulnerability', 'level rise projection', 'rise projection', 'rise storm surge']",nmf_frobenius
117,66,"['flood mapping', 'local flood', 'year flood', 'insurance rate', 'flood insurance', 'real time river', 'time river', 'time river gauge', 'river gauge', 'map help', 'firm assist precipitation', 'precipitation flood mapping', 'population susceptible', 'mapping neighborhood socially', 'mapping neighborhood']",nmf_frobenius
118,39,"['treatment plant', 'wastewater treatment', 'water treatment', 'water treatment plant', 'wastewater treatment plant', 'treatment facility', 'waste water', 'waste water treatment', 'plant upgrade', 'anaerobic digester', 'wastewater treatment facility', 'water wastewater', 'water wastewater treatment', 'treatment plant upgrade', 'water treatment facility']",nmf_frobenius
118,61,"['water quality', 'improve water', 'improve water quality', 'specify water', 'water quality issue', 'quality issue', 'quality water', 'source water', 'decline water', 'decline water quality', 'air water', 'water supply', 'air water quality', 'specify water quality', 'green infrastructure']",nmf_frobenius
119,57,"['land use', 'land use planning', 'use planning', 'agriculture forestry', 'use transportation', 'land use transportation', 'specify land', 'forestry land use', 'forestry land', 'agriculture forestry land', 'land use plan', 'use plan', 'change land use', 'change land', 'specify land use']",nmf_frobenius
119,14,"['natural gas', 'natural gas use', 'gas use', 'fugitive emission', 'electri natural', 'electri natural gas', 'include natural gas', 'include natural', 'leakage rate', 'datum provide', 'natural gas consumption', 'gas consumption', 'new building', 'emission natural', 'emission natural gas']",nmf_frobenius
120,71,"['electric bus', 'bus fleet', 'purchase electric bus', 'purchase electric', 'fully electric bus', 'fully electric', 'transit system', 'bus come', 'electric bus come', 'battery electric', 'procurement electric bus', 'procurement electric', 'bus transit', 'electric bus fleet', 'grant purchase']",nmf_frobenius
120,13,"['electric vehicle', 'vehicle charge', 'electric vehicle charge', 'charge infrastructure', 'charge station', 'vehicle charge infrastructure', 'vehicle infrastructure', 'electric vehicle infrastructure', 'electric vehicle adoption', 'vehicle adoption', 'vehicle charge station', 'vehicle fleet', 'encourage electric', 'electric car', 'fleet electric']",nmf_frobenius
121,37,"['specify project', 'project fund', 'specify project fund', 'fund grant', 'technical assistance', 'project fund seek', 'fund seek', 'local fund', 'project fund grant', 'partial funding', 'fund use', 'project finance', 'federal state local', 'emission reduction provide', 'specify project emission']",nmf_frobenius
121,70,"['solar project', 'community solar', 'community solar project', 'municipal solar project', 'municipal solar', 'plan solar project', 'plan solar', 'scale solar project', 'renewable energy', 'scale solar', 'low moderate income', 'moderate income', 'low moderate', 'install solar', 'new solar']",nmf_frobenius
123,65,"['orient development', 'transit orient', 'transit orient development', 'walkable place', 'orient development zoning', 'development zoning', 'high density', 'walkable place transit', 'place transit', 'place transit orient', 'orient development policy', 'transit corridor', 'prioritize transit', 'land use', 'development policy']",nmf_frobenius
123,36,"['open space', 'defensible space', 'park open', 'park open space', 'designate open space', 'designate open', 'legally designate', 'legally designate open', 'specify open', 'square mile', 'carbon sequestration', 'pasture open space', 'pasture open', 'natural open space', 'natural open']",nmf_frobenius
124,47,"['stormwater management', 'stormwater management plan', 'management plan', 'management program', 'stormwater management program', 'stormwater management system', 'management system', 'improve stormwater', 'stormwater management flood', 'management flood control', 'management flood', 'scale stormwater', 'comprehensive stormwater management', 'comprehensive stormwater', 'improve stormwater management']",nmf_frobenius
124,54,"['resilience plan', 'climate action resilience', 'action resilience', 'action resilience plan', 'climate resilience', 'climate action', 'climate resilience plan', 'change resilience plan', 'change resilience', 'climate change resilience', 'community resilience plan', 'community resilience', 'resilience plan master', 'plan master', 'plan master plan']",nmf_frobenius
125,7,"['climate change', 'impact climate', 'impact climate change', 'climate change adaptation', 'change adaptation', 'adapt climate', 'adapt climate change', 'address climate change', 'address climate', 'change mitigation', 'climate change mitigation', 'mitigation adaptation', 'combat climate change', 'combat climate', 'climate change priority']",nmf_frobenius
125,12,"['vulnerability assessment', 'climate vulnerability', 'climate vulnerability assessment', 'climate hazard', 'risk vulnerability assessment', 'risk vulnerability', 'wide vulnerability', 'adaptation plan', 'wide vulnerability assessment', 'build environment', 'hazard vulnerability assessment', 'assessment adaptation', 'assessment conduct', 'hazard vulnerability', 'assessment adaptation plan']",nmf_frobenius
127,18,"['tree canopy', 'tree planting', 'urban tree', 'urban tree canopy', 'increase tree', 'increase tree canopy', 'tree plant', 'canopy coverage', 'tree canopy coverage', 'tree canopy assessment', 'canopy assessment', 'tree canopy cover', 'specify tree', 'canopy cover', 'tree canopy target']",nmf_frobenius
127,58,"['lead streetlight', 'outdoor lighting', 'streetlight conversion', 'lead streetlight project', 'streetlight project', 'lead streetlight conversion', 'installation lead', 'replace streetlight', 'complete lead streetlight', 'complete lead', 'conversion lead', 'streetlight outdoor', 'smart controller', 'energy saving', 'change streetlight']",nmf_frobenius
128,27,"['extreme heat', 'heat wave', 'heat day', 'heat event', 'extreme heat day', 'extreme heat event', 'health impact', 'vulnerable population', 'air conditioning', 'public health', 'impact extreme', 'cool center', 'impact extreme heat', 'high heat', 'climate change']",nmf_frobenius
128,40,"['low income', 'income resident', 'income household', 'low income household', 'income population', 'low income resident', 'low income population', 'income community', 'low income community', 'high cost', 'cost living', 'low income neighborhood', 'income neighborhood', 'community color', 'energy efficiency']",nmf_frobenius
130,28,"['emission factor', 'factor ciris', 'natural gas', 'biogenic emission', 'biogenic emission factor', 'emission factor ciris', 'default emission factor', 'default emission', 'emission factor commercial', 'factor commercial', 'gas emission factor', 'natural gas emission', 'specify emission factor', 'base emission factor', 'emission factor scope']",nmf_frobenius
130,21,"['emission reduction', 'reduction target', 'reduction goal', 'emission reduction target', 'ghg emission reduction', 'emission reduction goal', 'ghg emission', 'estimate emission reduction', 'carbon emission', 'estimate emission', 'reduction strategy', 'carbon emission reduction', 'action plan', 'climate action', 'reduction level']",nmf_frobenius
83,19,"['commercial building', 'include commercial', 'building facility', 'include commercial building', 'commercial building facility', 'building benchmarking', 'institutional building', 'integrate commercial building', 'industrial building', 'integrate commercial', 'apply sub sector', 'apply sub', 'sub sector', 'institutional building facility', 'residential commercial building']",nmf_kullback
83,60,"['residential commercial', 'building code', 'commercial industrial', 'green building', 'square foot', 'residential commercial industrial', 'residential building', 'reach code', 'cool roof', 'municipal building', 'green building ordinance', 'building ordinance', 'new construction', 'building stock', 'residential commercial property']",nmf_kullback
116,18,"['tree canopy', 'tree planting', 'tree plant', 'urban tree', 'urban tree canopy', 'increase tree', 'increase tree canopy', 'canopy coverage', 'tree canopy coverage', 'heat mapping', 'canopy cover', 'new tree', 'tree canopy assessment', 'canopy assessment', 'heat island']",nmf_kullback
116,58,"['lead streetlight', 'outdoor lighting', 'street light', 'specify transportation', 'trade off', 'strategic plan', 'trade off benefit', 'off benefit', 'landfill gas', 'specify planning', 'lead lighting', 'warning evacuation', 'streetlight conversion', 'solar thermal', 'light lead']",nmf_kullback
119,10,"['energy efficiency', 'efficiency program', 'energy efficiency program', 'energy efficient', 'home energy', 'efficiency upgrade', 'increase energy', 'energy efficiency retrofit', 'efficiency retrofit', 'efficiency improvement', 'energy efficiency upgrade', 'increase energy efficiency', 'efficiency project', 'efficiency measure', 'energy efficiency improvement']",nmf_kullback
119,5,"['renewable energy', 'energy generation', 'renewable energy generation', 'energy efficiency', 'renewable source', 'site renewable', 'energy goal', 'renewable portfolio', 'energy source', 'renewable energy source', 'use renewable energy', 'use renewable', 'energy credit', 'energy renewable', 'portfolio standard']",nmf_kullback
126,2,"['mitigation plan', 'hazard mitigation', 'hazard mitigation plan', 'local hazard', 'local hazard mitigation', 'natural hazard', 'jurisdictional hazard', 'jurisdictional hazard mitigation', 'natural hazard mitigation', 'risk assessment', 'multi jurisdictional', 'disaster mitigation', 'water security', 'multi jurisdictional hazard', 'mitigation plan update']",nmf_kullback
126,9,"['adaptation plan', 'action adaptation plan', 'action adaptation', 'climate action adaptation', 'climate adaptation plan', 'climate adaptation', 'climate action', 'action plan', 'vulnerability assessment', 'assessment adaptation', 'adaptation action', 'develop thorough', 'plan progress', 'vulnerability assessment adaptation', 'assessment adaptation plan']",nmf_kullback
129,7,"['climate change', 'adapt climate change', 'impact climate', 'adapt climate', 'impact climate change', 'address climate change', 'address climate', 'ability adapt', 'change impact', 'effect climate', 'climate change impact', 'change mitigation', 'climate change mitigation', 'effect climate change', 'change action']",nmf_kullback
129,27,"['extreme heat', 'heat wave', 'heat day', 'extreme heat day', 'public health', 'heat event', 'air conditioning', 'health impact', 'extreme heat event', 'vector bear', 'heat relate', 'heat related', 'day year', 'vector bear disease', 'bear disease']",nmf_kullback
131,35,"['water use', 'water meter', 'water metering', 'reduce water', 'water consumption', 'water smart', 'reclaimed water', 'use restriction', 'conservation awareness', 'water usage', 'water use restriction', 'outdoor water', 'reduce water use', 'awareness education', 'energy water']",nmf_kullback
131,15,"['water supply', 'surface water', 'supply water', 'diversify water', 'diversify water supply', 'water source', 'ground water', 'surface water supply', 'increase demand', 'demand water', 'drought condition', 'severe drought', 'water supply plan', 'supply plan', 'year water']",nmf_kullback
132,56,"['carbon neutrality', 'carbon neutral', 'net carbon', 'goal carbon', 'achieve carbon', 'achieve carbon neutrality', 'goal carbon neutrality', 'reduce emission', 'carbon emission', 'reduction carbon', 'net emission', 'carbon neutrality goal', 'neutrality goal', 'goal carbon neutral', 'community wide']",nmf_kullback
132,13,"['electric vehicle', 'vehicle charge', 'electric vehicle charge', 'charge infrastructure', 'charge station', 'vehicle charge infrastructure', 'vehicle infrastructure', 'municipal fleet', 'electric vehicle infrastructure', 'vehicle fleet', 'heavy duty', 'vehicle charge station', 'alternative fuel', 'specify public', 'duty truck']",nmf_kullback
133,21,"['emission reduction', 'reduction target', 'ghg emission', 'ghg emission reduction', 'reduction goal', 'emission reduction target', 'emission reduction goal', 'reduction strategy', 'reduction level', 'estimate emission reduction', 'carbon emission reduction', 'estimate emission', 'year emission', 'reduction year', 'goal set']",nmf_kullback
133,16,"['emission inventory', 'gas inventory', 'greenhouse gas inventory', 'ghg emission inventory', 'greenhouse gas', 'ghg emission', 'data collect', 'inventory complete', 'datum accuracy', 'staff time', 'wide greenhouse gas', 'wide greenhouse', 'data available', 'inventory update', 'calculate emission']",nmf_kullback
134,22,"['solid waste', 'waste diversion', 'waste recycling', 'yard waste', 'waste management', 'recycling composting', 'waste collection', 'waste generate', 'diversion rate', 'residential recycling', 'waste stream', 'construction demolition', 'waste landfill', 'recycling program', 'waste plan']",nmf_kullback
134,24,"['solid waste', 'public education', 'waste generation', 'waste characterization', 'ton waste', 'waste reduction', 'waste disposal', 'solid waste generation', 'long range', 'solid waste disposal', 'education program', 'waste hauler', 'residential waste', 'park waste', 'methane gas']",nmf_kullback
135,50,"['air quality', 'improve air quality', 'improve air', 'poor air', 'poor air quality', 'environmental quality', 'forest fire', 'urban interface', 'job creation', 'air pollution', 'wildland fire', 'level ozone', 'wildland urban', 'wildland urban interface', 'club ride']",nmf_kullback
135,32,"['local government', 'specify local', 'government operation', 'local government operation', 'mix report', 'specify local government', 'lack resource', 'carbon footprint', 'reduction emission', 'lack funding', 'specify university', 'park recreation', 'operation protocol', 'government operation protocol', 'regional level']",nmf_kullback
27,10,"['tree canopy', 'tree plant', 'tree planting', 'urban tree', 'urban tree canopy', 'canopy coverage', 'increase tree canopy', 'tree canopy coverage', 'increase tree', 'percent tree', 'tree canopy cover', 'new tree', 'canopy cover', 'plant upgrade', 'right place']",blend_model
27,60,"['tree canopy', 'tree planting', 'plant tree', 'carbon sequestration', 'urban forest', 'street tree', 'tree plant', 'tree year', 'urban forestry', 'exclude campus', 'new tree', 'urban tree', 'canopy coverage', 'goal tree', 'plant new']",blend_model
28,55,"['solar project', 'rooftop solar', 'solar energy', 'solar installation', 'solar storage', 'solar panel', 'solar facility', 'solar panel building', 'solar array', 'panel building', 'instal county', 'community solar', 'site solar', 'approve facility', 'facility list']",blend_model
28,86,"['renewable energy', 'solar panel', 'instal solar', 'solar installation', 'solar array', 'solar energy', 'install solar', 'solar system', 'solar project', 'community solar', 'purchase agreement', 'battery storage', 'power purchase agreement', 'power purchase', 'energy efficiency']",blend_model
29,20,"['natural gas', 'gas leakage', 'natural gas leakage', 'natural gas use', 'gas use', 'compress gas', 'emission factor', 'fugitive natural gas', 'fugitive natural', 'gas prohibition', 'natural gas prohibition', 'gas emission factor', 'commercial usage', 'natural gas emission', 'emission factor commercial']",blend_model
29,16,"['gas inventory', 'greenhouse gas', 'emission inventory', 'gas emission', 'gas emission inventory', 'greenhouse gas emission', 'inventory report', 'greenhouse gas inventory', 'emission inventory report', 'community greenhouse', 'community greenhouse gas', 'wide greenhouse gas', 'wide greenhouse', 'ghg emission', 'inventory community greenhouse']",blend_model
46,72,"['specify infrastructure', 'infrastructure improvement', 'infrastructure damage', 'specify infrastructure damage', 'specify infrastructure improvement', 'evaluate infrastructure', 'stream restoration', 'infrastructure resilience', 'transportation infrastructure', 'budget strain', 'planning infrastructure improvement', 'improvement limited', 'space infrastructure', 'term infrastructure', 'planning infrastructure']",blend_model
46,68,"['stormwater infrastructure', 'infrastructure plan', 'green stormwater', 'plan implementation', 'green stormwater infrastructure', 'stormwater infrastructure plan', 'residential stormwater', 'residential stormwater grant', 'stormwater grant', 'water infrastructure', 'stormwater infrastructure project', 'infrastructure project', 'water infrastructure plan', 'stormwater grant program', 'new stormwater infrastructure']",blend_model
47,10,"['energy efficiency', 'efficiency program', 'energy efficiency program', 'increase energy', 'efficiency project', 'efficiency upgrade', 'efficiency retrofit', 'renewable energy', 'energy efficiency retrofit', 'home energy', 'energy efficiency project', 'efficiency improvement', 'energy efficiency upgrade', 'energy efficient', 'efficiency measure']",blend_model
